FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
Tenn-Tom Waterway (Columbus),662-327-2142,Columbus,MS,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/TennesseeTombigbeeWaterway.aspx,YES,YES
Tombigbee NF - Main Office,662-285-3264,Ackerman,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
US Forest Service in Mississippi - Main Office,601-965-1600,Jackson,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Vicksburg National Military Park,601-636-0583,Vicksburg,MS,http://www.nps.gov/vick,YES,YES
Beaverhead-Deerlodge NF - Butte District,406-494-2147,Butte,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Jefferson District,406-287-3223,Whitetail,MT,www.fs.fed.us/r1/b-d/contact/,NO,YES
Beaverhead-Deerlodge NF - Madison District,406-682-4253,Ennis,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Main Office,406-683-3900,Dillon,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Pintler District,406-859-3211,Philipsburg,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Pintler District,406-846-1770,Deer Lodge,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Wisdom District,406-689-3243,Wisdom,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Beaverhead-Deerlodge NF - Wise River District,406-832-3178,Wise River,MT,www.fs.fed.us/r1/b-d/contact/,YES,YES
Big Hole National Battlefield,406-689-3155,Wisdom,MT,http://www.nps.gov/biho/,YES,YES
Bighorn Canyon National Recreation Area,406-666-2412,Fort Smith,MT,http://www.nps.gov/bica/,YES,YES
Bitterroot NF - Darby District,406-821-3913,Darby,MT,www.fs.fed.us/r1/bitterroot/contact,YES,YES
Bitterroot NF - Main Office,406-363-7100,Hamilton,MT,www.fs.fed.us/r1/bitterroot/contact,YES,YES
Bitterroot NF - Stevensville District,406-777-5461,Stevensville,MT,www.fs.fed.us/r1/bitterroot/contact,YES,YES
Butte Field Office - BLM,406-533-7600,Butte,MT,http://www.blm.gov/mt/st/en/fo/butte_field_office.html,YES,YES
Charles M. Russell NWR,406-538-8706,Lewistown,MT,http://www.fws.gov/cmr/,YES,YES
Custer NF - Beartooth District,406-446-2103,Red Lodge,MT,www.fs.fed.us/r1/custer/contactus/index.shtml,YES,YES
Custer NF - Main Office,406-657-6200,Billings,MT,www.fs.fed.us/r1/custer/contactus/index.shtml,YES,YES
Custer NF - Sioux District,406-797-4432,Camp Crook,MT,www.fs.fed.us/r1/custer/contactus/index.shtml,YES,YES
Flathead NF - Hungry Horse & Glacier View Dist,406-387-3800,Hungry Horse,MT,www.fs.fed.us/r1/flathead/contact/contact.htm,YES,YES
Flathead NF - Main Office,406-758-5204,Kalispell,MT,www.fs.fed.us/r1/flathead/contact/contact.htm,YES,YES
Flathead NF - Swan Lake District,406-837-7500,Bigfork,MT,www.fs.fed.us/r1/flathead/contact/contact.htm,YES,YES
Flathead NF - Tally Lake District,406-758-5204,Kalispell,MT,www.fs.fed.us/r1/flathead/contact/contact.htm,YES,YES
Fort Peck Project,406-526-3411,Fort Peck,MT,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/FortPeck.aspx,YES,YES
Gallatin NF - Big Timber District,406-932-5155,Big Timber,MT,www.fs.fed.us/r1/gallatin/,YES,YES
Gallatin NF - Bozeman District,406-522-2520,Bozeman,MT,www.fs.fed.us/r1/gallatin/,YES,YES
Gallatin NF - Hebgen Lake District,406-823-6961,West Yellowstone,MT,www.fs.fed.us/r1/gallatin/,YES,YES
Gallatin NF - Livingston District,406-222-1892,Livingston,MT,www.fs.fed.us/r1/gallatin/,YES,YES
Glacier National Park,406-888-7800,NW Montana,MT,http://www.nps.gov/glac/,YES,YES
Great Falls BLM Field Office,406-538-7461,Great Falls,MT,http://www.ntc.blm.gov/satnet/satdirmt.html,YES,YES
Havre BLM Field Station,406-262-2820,Havre,MT,http://www.blm.gov/mt/st/en/fo/malta_field_office.html,YES,YES
Helena NF - Helena District,406-449-5490,Helena,MT,www.fs.fed.us/r1/helena/contact,YES,YES
Helena NF - Lincoln District,406-362-4265,Lincoln,MT,www.fs.fed.us/r1/helena/contact,YES,YES
Helena NF - Townsend District,406-266-3425,Townsend,MT,www.fs.fed.us/r1/helena/contact,YES,YES
Kootean NF - Cabinet District,406-827-3533,Trout Creek,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Kootenai NF - Fortine District,406-882-4451,Fortine,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Kootenai NF - Libby District,406-293-7773,Libby,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Kootenai NF - Main Office,406-293-6211,Libby,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Kootenai NF - Rexford District,406-296-2536,Eureka,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Kootenai NF - Three Rivers District,406-295-4693,Troy,MT,www.fs.fed.us/r1/kootenai/contact/,YES,YES
Lee Metcalf National Wildlife Refuge,406-777-5552,Stevensville,MT,http://www.fws.gov/leemetcalf/,YES,YES
Lewis & Clark NF - Belt Creek District,406-236-5511,Neihart,MT,www.fs.fed.us/r1/lewisclark/contact/,YES,YES
Lewis & Clark NF - Main Office,406-791-7700,Great Falls,MT,www.fs.fed.us/r1/lewisclark/contact/,YES,YES
Lewis & Clark NF - Musselshell District,406-632-4391,Harlowton,MT,www.fs.fed.us/r1/lewisclark/contact/,YES,YES
Lewis & Clark NF - White Sulphur Spring District,406-547-3361,White Sulphur Springs,MT,www.fs.fed.us/r1/lewisclark/contact/,YES,YES
Lewistown Field Office - BLM,406-538-1900,Lewistown,MT,http://www.blm.gov/mt/st/en/fo/lewistown_field_office.html,YES,YES
Little Bighorn Battlefield National Monument,406-638-3204,Crow Agency,MT,http://www.nps.gov/libi/,YES,YES
Lolo NF - Main Office,406-329-3750,Missoula,MT,www.fs.fed.us/r1/lolo/about/offices.shtml,YES,YES
Lolo NF - Ninemile Station,406-626-5201,Huson,MT,www.fs.fed.us/r1/lolo/about/offices.shtml,YES,YES
Lolo NF - Plains/Thompson Falls Station,406-826-3821,Plains,MT,www.fs.fed.us/r1/lolo/about/offices.shtml,YES,YES
Lolo NF - Seeley Lake Station,406-677-2233,Seeley Lake,MT,www.fs.fed.us/r1/lolo/about/offices.shtml,YES,YES
Lolo NF - Superior Station,406-822-4233,Superior,MT,www.fs.fed.us/r1/lolo/about/offices.shtml,YES,YES
Malta BLM Field Office,406-654-5100,Malta,MT,http://www.blm.gov/mt/st/en/fo/malta_field_office.html,YES,YES
Miles City BLM Office,406-233-2800,Miles City,MT,http://www.blm.gov/mt/st/en/fo/miles_city_field_office.html,YES,YES
Missoula BLM Office,406-329-3914,Missoula,MT,http://www.blm.gov/mt/st/en/fo/missoula_field_office.html,YES,YES
Missouri Interpretive Center - BLM,406-622-4000,Ft Benton,MT,http://www.blm.gov/mt/st/en/fo/lewistown_field_office/UM/interp.html,YES,NO
Montana BLM Office,406-896-5007,Billings,MT,http://www.blm.gov/mt/st/en.html,YES,YES
National Bison Range Wildlife Refuge,406-644-2211,Moiese,MT,http://www.fws.gov/bisonrange/nbr/,YES,YES
Pompeys Pillar Interpretive Center - BLM,406-875-2400,Pompey Pillar,MT,www.blm.gov/mt/st/en/fo/billings_field_office/Pompeys_Pillar.html,YES,NO
Blue Ridge Parkway (Campgrounds),828-271-4779,Asheville,NC,http://www.nps.gov/blri,NO,YES
Cape Hatteras Lighthouse,252-473-2111,Buxton,NC,http://www.nps.gov/caha,NO,YES
Cape Hatteras National Seashore (Campgrounds),252-473-2111,Manteo,NC,http://www.nps.gov/caha,NO,YES
Carl Sandburg Home National Historic Site,828-693-4178,Flat Rock,NC,http://www.nps.gov/carl/,YES,YES
Croatan NF - Main Office,252-638-5628,New Bern,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Falls Lake,919-846-9332 x223,Wake Forest,NC,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/FallsLake.aspx,YES,YES
Great Smoky Mountains NP - Oconaluftee Visitor's Center,828-497-1919,Cherokee,NC,http://www.nps.gov/grsm/index.htm,NO,YES
Great Smoky Mountains NP - Smokemont Campground,828-497-9270,Cherokee,NC,http://www.nps.gov/grsm/index.htm,NO,YES
Guilford Courthouse National Military Park,336-288-1776,Greensboro,NC,http://www.nps.gov/guco/,YES,YES
Jordan Lake,919-542-4501 x24,Moncure,NC,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/BEverettJordan.aspx,YES,YES
Moores Creek National Battlefield,910-283-5591,Currie,NC,http://www.nps.gov/mocr/,NO,YES
Nantahala NF - Cheoah District,828-479-6431,Robbinsville,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Nantahala NF - Highlands District,828-526-3765,Highlands,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Nantahala NF - Tusquitee District,828-837-5152,Murphy,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Nantahala NF - Wayah District,828-524-6441,Franklin,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Pisgah NF - Appalachian District,828-622-3202,Hot Springs,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Pisgah NF - Grandfather District,828-652-2144,Nebo,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Pisgah NF - Pisgah District,828-877-3265,Pisgah Forest,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Pisgah NF - Toecane Station,828-682-6146,Burnsville,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
Uwharrie NF - Main Office,910-576-6391,Troy,NC,http://www.cs.unca.edu/nfsnc/forest_contacts.pdf,YES,YES
W. Kerr Scott Dam and Reservoir,336-921-3390,Wilkesboro,NC,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/JohnHKerr.aspx,YES,YES
Wright Brothers National Memorial,252-473-2111,Kill Devil Hills,NC,http://www.nps.gov/wrbr/,YES,YES
Dakota Prairie Grasslands - Main Office,701-989-7300,Bismarck,ND,http://www.fs.fed.us/r1/dakotaprairie/index.html,YES,YES
Dakota Prairie Grasslands - McKenzie District,701-842-8500,Watford City,ND,http://www.fs.fed.us/r1/dakotaprairie/mckenzie.htm,YES,YES
Dakota Prairie Grasslands - Medora District,701-227-7800,Dickinson,ND,http://www.fs.fed.us/r1/dakotaprairie/medora.htm,YES,YES
Dakota Prairie Grasslands - Sheyenne District,701-683-4342,Lisbon,ND,http://www.fs.fed.us/r1/dakotaprairie/sheyenne.htm,YES,YES
Devils Lake Wetland Management District,701-662-8611,Devils Lake,ND,http://www.fws.gov/devilslake/,YES,YES
Garrison Project,701-654-7757,Riverdale,ND,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Garrison.aspx,YES,YES
Lake Ashtabula Recreation Area,701-845-2970,Valley City,ND,http://www.mvp.usace.army.mil/Missions/Recreation/LakeAshtabulaBaldhillDam.aspx,YES,YES
North Dakota BLM Office,701-227-7700,Dickinson,ND,++,YES,YES
Oahe Project,701-255-0015,Bismarck,ND,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Oahe.aspx,YES,YES
Theodore Roosevelt National Park - North Unit,701-842-2333,Watford City,ND,+,YES,YES
Theodore Roosevelt National Park - South Unit,701-623-4466,Medora,ND,http://www.nps.gov/thro/,YES,YES
Gavins Point Project,402-667-2546,Crofton,NE,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/FortPeck.aspx,YES,YES
Harlan County Lake Project,308-799-2105,Republican City,NE,http://www.nwk.usace.army.mil/Locations/DistrictLakes/HarlanCountyLake.aspx,YES,YES
Homestead National Monument of America,402-223-3514,Beatrice,NE,http://www.nps.gov/home/,YES,YES
Lewis & Clark NHT/NPS Midwest Regional Office,402-661-1804,Omaha,NE,http://www.nps.gov/lecl,YES,YES
Missouri River Project,402-996-3752,Omaha,NE,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams.aspx,YES,YES
Nebraska National Forest - Bessey District,308-533-2257,Halsey,NE,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Nebraska National Forest - Main Office,308-432-0300,Chadron,NE,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Nebraska National Forest - Pine Ridge District,308-432-0300,Chadron,NE,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Scotts Bluff National Monument,308-436-9700,Gering,NE,http://www.nps.gov/scbl/,YES,YES
Hopkinton-Everett Lake,603-746-3601,Contoocook,NH,http://www.nae.usace.army.mil/Missions/Recreation/HopkintonEverettLake.aspx,YES,YES
Saint Gaudens National Historic Site,603-675-2175,Cornish,NH,http://www.nps.gov/saga/,YES,YES
White Mountain NF - Androscoggin District,603-466-2713,Gorham,NH,http://www.fs.fed.us/r9/forests/white_mountain/contact/,YES,YES
White Mountain NF - Main Office,603-536-6100,Campton,NH,http://www.fs.fed.us/r9/forests/white_mountain/,YES,YES
White Mountain NF - Saco District,603-447-5448,Conway,NH,http://www.fs.fed.us/r9/forests/white_mountain/contact/,YES,YES
Edison National Historical Park,973-736-0550 ext. 11,West Orange,NJ,http://www.nps.gov/edis/,YES,YES
Edwin B. Forsythe NWR,609-652-1665,Galloway,NJ,http://fws.gov/refuge/edwin_b_forsythe/,YES,YES
Gateway National Recreation Area - Sandy Hook,732-872-5970,North Jersey,NJ,http://www.nps.gov/gate/,NO,YES
Great Swamp NWR,973-425-1222,Basking Ridge,NJ,http://www.fws.gov/northeast/greatswamp/,NO,YES
Morristown National Historical Park,973-539-2016,Morristown,NJ,http://www.nps.gov/morr/,YES,YES
Wallkill River NWR,973-702-7266,Sussex,NJ,http://www.fws.gov/northeast/wallkillriver/,YES,YES
Abiquiu Lake,505-685-4371,Abiquiu,NM,http://www.spa.usace.army.mil/Missions/CivilWorks/Recreation/AbiquiuLake.aspx,YES,YES
Aztec Ruins National Monument,505-334-6174 ,Aztec,NM,http://www.nps.gov/azru/,YES,YES
Bandalier National Monument,505-672-3861,Los Alamos,NM,http://www.nps.gov/band/,YES,YES
Bosque del Apache NWR,575-835-1828,Socorro,NM,http://www.fws.gov/southwest/refuges/newmex/bosque/index.html,YES,YES
Capulin Volcano National Monument,575-278-2201,Capulin,NM,http://www.nps.gov/cavo/,YES,YES
Carlsbad BLM Field Office,505-234-5919,Carlsbad,NM,http://www.blm.gov/nm/st/en/fo/Carlsbad_Field_Office.html,YES,YES
Carlsbad Caverns National Park,505-785-2232,Carlsbad,NM,http://www.nps.gov/cave/,YES,YES
Carson NF - Camino Real Station,575-587-2255,Penasco,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - Canjilon Station,575-684-2489,Canjilon,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - El Rito Station,575-581-4554,El Rito,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - Jicarilla Station,505-632-2956,Bloomfield,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - Main Office,575-758-6200,Taos,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - Questa Station,575-586-0520,Questa,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Carson NF - Tres Piedras Station,575-758-8678,Tres Piedras,NM,http://www.fs.fed.us/r3/carson/contact/index.shtml,YES,YES
Chaco Culture National Historical Park,505-786-7014,Nageezi,NM,http://www.nps.gov/chcu/,YES,YES
Cibola NF - Magdalena District,575-854-2281 ,Magdalena,NM,http://www.fs.fed.us/r3/cibola/districts/magdalena.shtml,YES,YES
Cibola NF - Main Office,505-346-3900,Albuquerque,NM,http://www.fs.fed.us/r3/cibola/contact/index.shtml,YES,YES
Cibola NF - Mountainair District,505-847-2990 ,Mountair,NM,http://www.fs.fed.us/r3/cibola/districts/mountainair.shtml,YES,YES
Cibola NF - Mt Taylor District,505-287-8833 ,Grants,NM,http://www.fs.fed.us/r3/cibola/districts/mttaylor.shtml,YES,YES
Cibola NF - Sandia District,505-281-3304 ,Tijeras,NM,http://www.fs.fed.us/r3/cibola/districts/sandia.shtml,YES,YES
Cochiti Lake,505-465-0307,Pena Blanca,NM,http://www.spa.usace.army.mil/Missions/CivilWorks/Recreation/CochitiLake.aspx,YES,YES
Conchas Lake,575-868-2221,Conchas,NM,http://www.spa.usace.army.mil/Missions/CivilWorks/Recreation/ConchasLake.aspx,YES,YES
Farmington BLM Field Office,505-599-8900,Farmington,NM,http://www.blm.gov/nm/st/en/fo/Farmington_Field_Office.html,YES,YES
Fish and Wildlife Service Regional Office,505-248-6635,Albuquerque,NM,N/A,YES,YES
Gila Cliff Dwellings National Monument,575-536-9461,Silver City,NM,http://www.nps.gov/gicl/,YES,YES
Gila NF - Black Range District,575-894-6677,Truth or Consequences,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Glenwood District,575-539-2481,Glenwood,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Main Office,575-536-9461,Silver City,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Quemado District,575-773-4678,Quemado,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Quemado District Luna Work Center,575-547-2611,Luna,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Reserve District,575-533-6231,Reserve,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Gila NF - Wilderness District,575-536-2250,Mimbres,NM,http://www2.srs.fs.fed.us/r3/gila/contact/,YES,YES
Kiowa & Rita Blanca National Grassland,575-374-9652 ,Clayton,NM,http://www.fs.fed.us/r3/cibola/districts/kiowa.shtml,YES,YES
Las Cruces BLM District Office,505-525-4300,Las Cruces,NM,http://www.blm.gov/nm/st/en/fo/Las_Cruces_District_Office.html,YES,YES
Lincoln NF - Guadalupe District,575-885-4181,Carlsbad,NM,http://www.fs.fed.us/r3/lincoln/contact/index.shtml,YES,YES
Lincoln NF - Main Office,575-434-7200,Alamogordo,NM,http://www.fs.fed.us/r3/lincoln/contact/index.shtml,YES,YES
Lincoln NF - Sacramento District,575-682-2551,Cloudcroft,NM,http://www.fs.fed.us/r3/lincoln/contact/index.shtml,YES,YES
Lincoln NF - Smokey Bear District,575-257-4095,Ruidoso,NM,http://www.fs.fed.us/r3/lincoln/contact/index.shtml,YES,YES
New Mexico BLM Office,505-438-7400,Santa Fe,NM,http://www.blm.gov/nm/st/en.html,YES,YES
Pecos National Monument,505-757-6414,Pecos,NM,http://www.nps.gov/peco/,YES,YES
Petroglyph National Monument,505-899-0205,Albuquerque,NM,http://www.nps.gov/petr/,YES,YES
Rio Puerco BLM Field Office,505-761-8700,Albuquerque,NM,http://www.blm.gov/nm/st/en/fo/Rio_Puerco_Field_Office.html,YES,YES
Santa Fe NF - Coyote District,505-638-5526,Coyote,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Cuba District,505-289-3264,Cuba,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Espanola District,505-753-7331,Espanola,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Jemez District,505-829-3535,Jemez Springs,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Las Vegas District,505-425-3534,Las Vegas,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Main Office,505-438-7840,Santa Fe,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Santa Fe NF - Pecos District,505-757-6121,Pecos,NM,http://www.fs.fed.us/r3/sfe/contact/index.html,YES,YES
Sevilleta NWR,505-864-4021,Socorro,NM,http://www.fws.gov/southwest/refuges/newmex/Sevilleta,YES,YES
Socorro BLM Field Office,505-835-0412,Socorro,NM,http://www.blm.gov/nm/st/en/fo/Socorro_Field_Office.html,YES,YES
Taos BLM Field Office,505-758-8851,Taos,NM,http://www.blm.gov/nm/st/en/fo/Taos_Field_Office.html,YES,YES
US Forest Service Regional Office,505-842-3292,Albuquerque,NM,http://www.fs.fed.us/r3,YES,YES
Valles Caldera National Preserve,575-829-4823,Jemez Springs,NM,http://www.nps.gov/vall/index.htm,YES,YES
White Sands National Monument,575-679-2599,Alamagordo,NM,http://www.nps.gov/whsa/,YES,YES
Battle Mountain BLM District Office,775-635-4000,Battle Mountain,NV,http://www.blm.gov/nv/st/en/fo/battle_mountain_field.html,YES,YES
Carson City BLM Office,775-885-6000,Carson City,NV,http://www.blm.gov/nv/st/en/fo/carson_city_field.html,YES,YES
Elko BLM Field Office,775-753-0200,Elko,NV,http://www.blm.gov/nv/st/en/fo/elko_field_office.html,YES,YES
Ely BLM Field Office,775-289-1800,Ely,NV,http://www.nv.blm.gov/ely/,YES,YES
Great Basin National Park,775-234-7331,Baker,NV,http://www.nps.gov/grba/,YES,YES
Humboldt-Toiyabe NF - Austin District,775-964-2671,Austin,NV,http://www.fs.fed.us/r4/htnf/districts/austin.shtml,YES,YES
Humboldt-Toiyabe NF - Bridgeport District,760-932-7070,Bridgeport,NV,http://www.fs.fed.us/r4/htnf/districts/bridgeport.shtml,YES,YES
Humboldt-Toiyabe NF - Carson District,775-882-2766,Carson City,NV,http://www.fs.fed.us/r4/htnf/districts/carson.shtml,YES,YES
Humboldt-Toiyabe NF - Ely District,775-289-3031,Ely,NV,http://www.fs.fed.us/r4/htnf/districts/ely.shtml,YES,YES
Humboldt-Toiyabe NF - Jarbidge District,775-752-3357,Wells,NV,http://www.fs.fed.us/r4/htnf/districts/jarbidge.shtml,YES,YES
Humboldt-Toiyabe NF - Main Office,775-331-6444,Sparks,NV,http://www.fs.fed.us/r4/htnf/contact/,YES,YES
Humboldt-Toiyabe NF - Mountain City District,775-738-5171,Elko,NV,http://www.fs.fed.us/r4/htnf/districts/mountain%20_city.shtml,YES,YES
Humboldt-Toiyabe NF - Ruby Mountains District,775-752-3357,Wells,NV,http://www.fs.fed.us/r4/htnf/districts/ruby_mountain.shtml,YES,YES
Humboldt-Toiyabe NF - Santa Rosa District,775-623-5025,Winnemucca,NV,http://www.fs.fed.us/r4/htnf/districts/santa_rosa.shtml,YES,YES
Humboldt-Toiyabe NF - Spring Mountains NRA,702-515-5400,Las Vegas,NV,http://www.fs.fed.us/r4/htnf/districts/smnra.shtml,YES,YES
Humboldt-Toiyabe NF - Tonopah District,775-482-6286,Tonopah,NV,http://www.fs.fed.us/r4/htnf/districts/tonopah.shtml,YES,YES
Lake Mead National Recreation Area,702-293-8990,Boulder City,NV,http://www.nps.gov/lame/,YES,YES
Las Vegas BLM Field Office,702-515-5000,Las Vegas,NV,http://www.blm.gov/nv/st/en/fo/lvfo.html,YES,YES
Nevada BLM Office,775-861-6400,Reno,NV,http://www.blm.gov/nv/st/en.html,YES,YES
Red Rock Canyon National Conservation Area - BLM,702-515-5350,Las Vegas,NV,http://www.nv.blm.gov/redrockcanyon,YES,YES
Winnemucca BLM Field Office,775-623-1500,Winnemucca,NV,http://www.nv.blm.gov/Winnemucca/,NO,YES
Eleanor Roosevelt National Historic Site,845-229-9115,Hyde Park,NY,http://www.nps.gov/elro,YES,YES
Finger Lakes NF - Hector Station,607-546-4470,Hector,NY,http://www.fs.fed.us/r9/gmfl/contact/offices.htm,YES,YES
Fire Island National Seashore,631-687-4750,Patchogue,NY,http://www.nps.gov/fiis,NO,YES
Fort Stanwix National Monument,315-338-7730,Rome,NY,http://www.nps.gov/fost,YES,YES
Gateway National Recreation Area - Staten Island,718-354-4574,Staten Island,NY,http://www.nps.gov/gate/,NO,YES
Home of Franklin D. Roosevelt NHS,845-229-9115,Hyde Park,NY,http://www.nps.gov/hofr,YES,YES
Iroquois NWR,585-948-5445,Basom,NY,http://www.fws.gov/northeast/iroquois/,YES,YES
Long Island NWR Complex,631-286-0485,Shirley,NY,http://www.fws.gov/northeast/longislandrefuges/,YES,YES
Martin Van Buren National Historic Site,518-758-9689,Kinderhook,NY,http://www.nps.gov/mava,YES,YES
Montezuma NWR,315-568-5987,Seneca Falls,NY,http://www.fws.gov/r5mnwr/,NO,YES
Sagamore Hill National Historic Site,516-922-4788,Oyster Bay,NY,http://www.nps.gov/sahi/,YES,YES
Saratoga National Historical Park,518-664-9821,Saratoga,NY,http://www.nps.gov/sara/,YES,YES
Theodore Roosevelt Birthplace,212-260-1616,New York City,NY,http://www.nps.gov/thrb,YES,YES
Vanderbilt Mansion National Historic Site,845-229-7770,Hyde Park,NY,http://www.nps.gov/vama,YES,YES
Berlin Lake,330-547-3801,Deerfield,OH,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/BerlinLake.aspx,YES,YES
C.J. Brown Dam & Reservoir,937-325-2411,Springfield,OH,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CJBrownDamReservoir.aspx,YES,YES
Caesar Creek lake,513-897-1738,Waynesville,OH,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaesarCreekLake.aspx,YES,YES
Cuyahoga Valley National Park,800-445-9667,Cleveland/Akron,OH,http://www.nps.gov/cuva/,YES,YES
Garfield National Historic Site,440-255-8722,Mentor,OH,http://www.nps.gov/jaga/,YES,YES
Hopewell Culture National Historical Park,740-774-1126,Chillicothe,OH,http://www.nps.gov/hocu/,YES,YES
Ottawa National Wildlife Refuge,419-898-0014,Oak Harbor,OH,http://www.fws.gov/midwest/Ottawa/,YES,YES
Perry's Victory & Int'l Peace Memorial,419-285-2184,Put-in-Bay,OH,http://www.nps.gov/pevi,YES,YES
Wayne NF - Athens District,740-753-0101,Nelsonville,OH,http://www.fs.fed.us/r9/wayne/contacts.html,YES,YES
Wayne NF - Ironton District,740-534-6500,Pedro,OH,http://www.fs.fed.us/r9/wayne/contacts.html,YES,YES
Wayne NF - Marietta Unit,740-373-9055,Marietta,OH,http://www.fs.fed.us/r9/wayne/contacts.html,YES,YES
William H. Harsha Lake,513-797-6081,Batavia,OH,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/WilliamHHarshaLake.aspx,YES,YES
William Howard Taft National Historical Site,513-684-3262,Cincinnati,OH,http://www.nps.gov/wiho/,YES,YES
Birch Lake,918-396-3170,Skiatook,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/BirchLake.aspx,YES,YES
BLM Oklahoma Field Station,405-234-5900,Oklahoma City,OK,http://www.blm.gov/nm/st/en/fo/Oklahoma_Field_Office.html,YES,YES
BLM Tulsa Office,918-621-4100,Tulsa,OK,http://www.blm.gov/nm/st/en/fo/Oklahoma_Field_Office.html,YES,YES
Canton Lake,580-886-2989,Canton,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/CantonLake.aspx,YES,YES
Chickasaw National Recreation Area,580-622-7234,Sulphur,OK,http://www.nps.gov/chic/,YES,YES
Copan Lake,918-532-4334,Copan,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/CopanLake.aspx,YES,YES
